license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Family Child Care,Active,,Minneapolis,MN,55410-1729,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55410-2637,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Minneapolis,MN,55410-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55410-1332,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410-1748,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55410-2426,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55410-1501,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410-1325,Hennepin
,,,Family Child Care,Active,,Edina,MN,55410,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410-1713,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410-1618,Hennepin
,,,Family Child Care,Active,,Edina,MN,55410-2813,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55410-2553,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55410-1055,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55410-2613,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Edina,MN,55410-0000,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55410-2224,Hennepin
,,,Child Care Center,Active,,Edina,MN,55410-2357,Hennepin
,,,Child Care Center,Active,,Edina,MN,55410-2020,Hennepin
,,,Family Child Care,Active,,Edina,MN,55410-2725,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3713,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2503,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-2050,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-1366,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3219,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2169,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3952,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3009,Hennepin
,,,Substance Use Disorder Treatment,Closed as of 12/11/2025,,Minneapolis,MN,55411-2473,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-1119,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2712,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55411-2504,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-4013,Hennepin
,,,Family Child Care,Closed as of 09/26/2025,,Minneapolis,MN,55411-1912,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2845,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2532,Hennepin
,,,Child Care Center,Closed as of 10/13/2025,,Minneapolis,MN,55411-1737,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3931,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-3972,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55411-2952,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2173,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55411-2157,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55411-2450,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2246,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-3625,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-1927,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3621,Hennepin
,,,Children's Residential Facilities,Active,,Minneapolis,MN,55411-2720,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3835,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3735,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55411-1004,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-1524,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2247,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-4406,Hennepin
,,,Family Child Care,Revocation Order Issued/Under Appeal/May Operate as of 06/05/2025,,Minneapolis,MN,55411-3016,Hennepin
,,,Children's Residential Facilities,Active,,Minneapolis,MN,55411-3933,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-3033,Hennepin
,,,Substance Use Disorder Treatment,Revoked as of 06/28/2022,,Minneapolis,MN,55411-2116,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55411-3600,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-4005,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55411-1392,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Minneapolis,MN,55411-2259,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3549,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3504,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55411-3636,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3704,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-3326,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3925,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-1010,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55411-3968,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-4174,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-3728,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55411-2214,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-1015,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-2316,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55411-3139,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55411-1606,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55411-2018,Hennepin
,,,Adult Day Care Services,Closed as of 08/26/2025,,Minneapolis,MN,55412-2005,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-1327,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55412-1556,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-1520,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55412-0000,Ramsey
,,,Family Child Care,Active,,Minneapolis,MN,55412-1526,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-1929,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55412-2615,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-1724,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55412-2424,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55412-1559,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-2324,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55412-1515,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-2166,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-2317,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55412-1812,Hennepin
,,,Family Child Care,Revoked as of 08/16/2023,,Minneapolis,MN,55412-1421,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55412,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55412-2126,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55412-1747,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55412-2406,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55412-2342,Hennepin
,,,Family Child Care,Closed as of 08/31/2025,,Minneapolis,MN,55412-1616,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55412-1917,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55412-1947,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-1956,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55412-1363,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-1960,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55412-1435,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55412-2443,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55412-1700,Hennepin
,,,Child Care Center,Revoked as of 09/21/2023,,Minneapolis,MN,55412-2325,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2700,Hennepin
,,,Substance Use Disorder Treatment,Closed as of 11/25/2025,,Minneapolis,MN,55413-1517,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2760,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2940,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2717,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55413-1233,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1084,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2731,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1002,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2404,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413-2602,Hennepin
,,,Substance Use Disorder Treatment,Revoked as of 06/22/2022,,Minneapolis,MN,55413-1772,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413-1459,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55413-1763,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1005,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413-1511,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413-1117,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2627,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2507,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1637,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1144,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-4403,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2814,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55413-2145,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55413-2117,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1896,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2724,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1867,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413-1265,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55413-1666,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-2422,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55413-1227,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55413-2030,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55413-2530,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1946,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55413-1238,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55413-1902,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55413-1022,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55413-2759,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Minneapolis,MN,55414-2549,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55414-3325,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-3316,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-2352,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55414-1314,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-3260,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-1060,Hennepin
,,,Home and Community Based Services,Denied as of 04/30/2025,,Minneapolis,MN,55414-2600,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55414-2702,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-3590,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55414-3635,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-7501,Hennepin
,,,Child Caring-Placing Agency,Active,,Minneapolis,MN,55414-1312,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55414,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55414-3459,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-1096,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55414-3114,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Minneapolis,MN,55414-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-2105,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-2226,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55414-3207,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55414-2413,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55415-1702,Hennepin
,,,Children's Residential Facilities,Active,,Minneapolis,MN,55415,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55415-7541,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55415-1104,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55415-1419,Hennepin
,,,Adult Day Care Services,Active,,St Louis Park,MN,55416,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-1957,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55416,Hennepin
,,,Child Care Center,Active,,Edina,MN,55416,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-1487,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55416-1210,Hennepin
,,,Family Child Care,Active,,SAINT LOUIS PARK,MN,55416-1732,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55416-1225,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55416-4124,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55416-1728,Hennepin
,,,Child Care Center,Active,,Edina,MN,55416-5029,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-3700,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-5369,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-2019,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55416-3141,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-2906,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-3047,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55416-3101,Hennepin
,,,Certified Child Care Center,Active,,Saint Louis Park,MN,55416-2380,Hennepin
,,,Certified Child Care Center,Active,,Saint Louis Park,MN,55416-3245,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-3008,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-1420,Hennepin
,,,Child Foster Residence Setting,Active,,Golden Valley,MN,55416-1312,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55416,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-1731,Hennepin
,,,Substance Use Disorder Treatment,Active,,St Louis Park,MN,55416-2734,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-1222,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,St Louis Park,MN,55416-0000,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-1481,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-1488,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55416-3023,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-5445,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55416-2114,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55416-4032,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-1218,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55416-4104,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55416-5384,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55416-1233,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55416-1926,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55416-1487,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-2307,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55417-2016,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-3024,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55417-2383,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-3106,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-3224,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-1925,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-1625,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-2255,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55417-1158,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-1157,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55417-2206,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55417-1734,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55417-3148,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55417-1536,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55417-0000,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55417-2644,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55417-2003,Hennepin
,,,Child Care Center,Conditional as of 01/18/2025,,Minneapolis,MN,55417-2647,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55417-1647,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-1437,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55417-2505,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55417-2072,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55417-1342,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55417-3129,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55417-2642,Hennepin
,,,Family Child Care,Closed as of 07/03/2025,,Minneapolis,MN,55417-3231,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55417-2444,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55417-2707,Hennepin
,,,Home and Community Based Services,Revoked as of 05/03/2024,,Minneapolis,MN,55417-2429,Hennepin
,,,Child Foster Residence Setting,Revoked as of 05/03/2024,,Minneapolis,MN,55417-1326,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4306,Hennepin
,,,Substance Use Disorder Treatment,Pending Reopening as of 08/30/2025,,ST ANTHONY,MN,55418-2491,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Saint Anthony,MN,55418-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55418-0000,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2881,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-3726,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4879,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55418,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4226,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2637,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4824,Hennepin
,,,Home and Community Based Services,Active,,Saint Anthony,MN,55418-2432,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2492,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-3618,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-7300,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55418-1908,Hennepin
,,,Home and Community Based Services,Active,,Saint Anthony,MN,55418-2595,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55418-3642,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2491,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2497,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-1331,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2500,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-2222,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-1317,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Saint Anthony Village,MN,55418-7135,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55418-2137,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2431,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55418-2462,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55418-2467,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-2622,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2497,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,ST ANTHONY,MN,55418-1540,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55418-1343,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2595,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-2664,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2488,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-3034,Hennepin
,,,Home and Community Based Services,Temp Immediate Suspension: Subject to Appeal as of 12/19/2025,,Minneapolis,MN,55418-1407,Hennepin
,,,Certified Child Care Center,Active,,Saint Anthony,MN,55418-1667,Hennepin
,,,Certified Child Care Center,Active,,Saint Anthony,MN,55418-1759,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-3254,Hennepin
,,,Family Child Care,Active,,Saint Anthony,MN,55418,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-1619,Hennepin
,,,Substance Use Disorder Treatment,Active,,Saint Anthony,MN,55418-2490,Hennepin
,,,Adult Day Care Services,Active,,ST ANTHONY,MN,55418-2591,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-4136,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-4113,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-2268,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55418-1106,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4832,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-1604,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-4006,Hennepin
,,,Home and Community Based Services,Active,,ST ANTHONY,MN,55418-2490,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-3710,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55418-1423,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55418-3932,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55418-2104,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Saint Anthony Village,MN,55418-0000,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-3410,Hennepin
,,,Home and Community Based Services,Active,,Saint Anthony,MN,55418-2489,Hennepin
,,,Adult Day Care Services,Active,,ST ANTHONY,MN,55418-3208,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2122,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4356,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-1514,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-3637,Hennepin
,,,Home and Community Based Services,Active,,Saint Anthony,MN,55418-2497,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-3208,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55418-3731,Hennepin
,,,Home and Community Based Services,Active,,Saint Anthony,MN,55418-3254,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-5300,Hennepin
,,,Substance Use Disorder Treatment,Denied as of 12/18/2025,,Minneapolis,MN,55418-1147,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2490,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-2500,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55418-4344,Hennepin
,,,Child Care Center,Active,,Saint Anthony,MN,55418-2371,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55418-2325,Hennepin
,,,Child Foster Residence Setting,Active,,Minneapolis,MN,55419-2031,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55419-2539,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-2221,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55419-2202,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-2553,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-1925,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-5502,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-2243,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55419-5653,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55419-2357,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55419-5112,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-5109,Hennepin
,,,Children's Residential Facilities,Active,,Minneapolis,MN,55419-5145,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-5507,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-4726,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-2552,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55419-1110,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55419-1640,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55419-2308,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55419-1015,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-5003,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55419-5007,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55419-2361,Hennepin
